start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
2023-09-01T08:43:43.937920,2023-09-01T08:43:43.942011,0.004091,1,10,1,1,1,1,1,1.0
2023-09-01T08:43:43.942177,2023-09-01T08:43:43.945829,0.003652,1,1,1,1,1,1,1,1.0
2023-09-01T08:43:43.945971,2023-09-01T08:43:43.949494,0.003523,1,0,1,1,1,1,1,1.0
2023-09-01T08:43:43.949636,2023-09-01T08:43:43.953170,0.003534,1,11,1,1,1,1,1,1.0
2023-09-01T08:43:43.953310,2023-09-01T08:43:43.956487,0.003177,1,4,1,1,1,1,1,1.0
2023-09-01T08:43:43.956626,2023-09-01T08:43:43.960118,0.003492,1,3,1,1,1,1,1,1.0
2023-09-01T08:43:43.960263,2023-09-01T08:43:43.963787,0.003524,1,3,1,1,1,1,1,1.0
2023-09-01T08:43:43.963929,2023-09-01T08:43:43.967129,0.0032,1,2,1,1,1,1,1,1.0
2023-09-01T08:43:43.967270,2023-09-01T08:43:43.970980,0.00371,1,11,1,1,1,1,1,1.0
2023-09-01T08:43:43.971118,2023-09-01T08:43:43.974657,0.003539,1,1,1,1,1,1,1,1.0
2023-09-01T08:43:43.974801,2023-09-01T08:43:43.977871,0.00307,1,10,1,1,1,1,1,1.0
2023-09-01T08:43:43.978008,2023-09-01T08:43:43.981441,0.003433,1,11,1,1,1,1,1,1.0
2023-09-01T08:43:43.981578,2023-09-01T08:43:43.985212,0.003634,1,8,1,1,1,1,1,1.0
2023-09-01T08:43:43.985349,2023-09-01T08:43:43.988547,0.003198,1,1,1,1,1,1,1,1.0
2023-09-01T08:43:43.988690,2023-09-01T08:43:43.991777,0.003087,1,9,1,1,1,1,1,1.0
2023-09-01T08:43:43.991918,2023-09-01T08:43:43.994870,0.002952,1,6,1,1,1,1,1,1.0
2023-09-01T08:43:43.995008,2023-09-01T08:43:43.997862,0.002854,1,0,1,1,1,1,1,1.0
2023-09-01T08:43:43.998001,2023-09-01T08:43:44.001264,0.003263,1,0,1,1,1,1,1,1.0
2023-09-01T08:43:44.001403,2023-09-01T08:43:44.004855,0.003452,1,1,1,1,1,1,1,1.0
2023-09-01T08:43:44.004995,2023-09-01T08:43:44.008394,0.003399,1,3,1,1,1,1,1,1.0
2023-09-01T08:43:44.011052,2023-09-01T08:43:44.017630,0.006578,2,3 8,1,2,2,2,2,1.5
2023-09-01T08:43:44.017898,2023-09-01T08:43:44.026575,0.008677,2,0 8,1,3,2,2,2,1.6875
2023-09-01T08:43:44.026861,2023-09-01T08:43:44.035595,0.008734,2,11 10,1,3,2,2,2,1.6875
2023-09-01T08:43:44.035881,2023-09-01T08:43:44.044600,0.008719,2,8 6,1,3,2,2,2,1.6875
2023-09-01T08:43:44.044886,2023-09-01T08:43:44.053661,0.008775,2,7 9,1,3,2,2,2,1.6875
2023-09-01T08:43:44.053958,2023-09-01T08:43:44.062581,0.008623,2,0 2,1,3,2,2,2,1.6875
2023-09-01T08:43:44.062887,2023-09-01T08:43:44.071513,0.008626,2,6 5,1,3,2,2,2,1.6875
2023-09-01T08:43:44.071893,2023-09-01T08:43:44.080353,0.00846,2,2 3,1,3,2,2,2,1.6875
2023-09-01T08:43:44.080749,2023-09-01T08:43:44.089369,0.00862,2,1 1,1,3,2,2,2,1.6875
2023-09-01T08:43:44.089661,2023-09-01T08:43:44.097900,0.008239,2,1 5,1,3,2,2,2,1.6875
2023-09-01T08:43:44.098424,2023-09-01T08:43:44.109101,0.010677,2,9 4,1,3,2,2,2,1.6875
2023-09-01T08:43:44.109491,2023-09-01T08:43:44.117767,0.008276,2,11 7,1,3,2,2,2,1.6875
2023-09-01T08:43:44.118718,2023-09-01T08:43:44.127280,0.008562,2,1 6,1,3,2,2,2,1.6875
2023-09-01T08:43:44.127579,2023-09-01T08:43:44.133356,0.005777,2,8 4,1,2,2,2,2,1.5
2023-09-01T08:43:44.133634,2023-09-01T08:43:44.147537,0.013903,2,9 5,1,3,2,2,2,1.6875
2023-09-01T08:43:44.147937,2023-09-01T08:43:44.158471,0.010534,2,3 11,1,3,2,2,2,1.6875
2023-09-01T08:43:44.158875,2023-09-01T08:43:44.167900,0.009025,2,0 10,1,3,2,2,2,1.6875
2023-09-01T08:43:44.168294,2023-09-01T08:43:44.179286,0.010992,2,4 1,1,4,2,2,2,1.7857142857142858
2023-09-01T08:43:44.179687,2023-09-01T08:43:44.187800,0.008113,2,1 6,1,3,2,2,2,1.6875
2023-09-01T08:43:44.188089,2023-09-01T08:43:44.196593,0.008504,2,7 10,1,3,2,2,2,1.6875
2023-09-01T08:43:44.199361,2023-09-01T08:43:44.213108,0.013747,3,2 5 5,1,5,3,3,3,2.230769230769231
2023-09-01T08:43:44.213719,2023-09-01T08:43:44.216974,0.003255,3,4 11 10,1,1,1,1,1,1.0
2023-09-01T08:43:44.217131,2023-09-01T08:43:44.232401,0.01527,3,10 1 9,1,6,3,3,3,2.2096774193548385
2023-09-01T08:43:44.233135,2023-09-01T08:43:44.246663,0.013528,3,8 11 3,1,5,3,3,3,2.230769230769231
2023-09-01T08:43:44.247174,2023-09-01T08:43:44.260218,0.013044,3,6 4 11,1,5,3,3,3,2.230769230769231
2023-09-01T08:43:44.260830,2023-09-01T08:43:44.275011,0.014181,3,10 5 0,1,5,3,3,3,2.0384615384615383
2023-09-01T08:43:44.275622,2023-09-01T08:43:44.288152,0.01253,3,5 6 4,1,5,3,3,3,2.230769230769231
2023-09-01T08:43:44.288669,2023-09-01T08:43:44.328638,0.039969,3,9 11 3,1,15,5,3,4,2.81875
2023-09-01T08:43:44.331230,2023-09-01T08:43:44.371135,0.039905,3,2 4 2,1,15,3,3,5,3.411764705882353
2023-09-01T08:43:44.371844,2023-09-01T08:43:44.383614,0.01177,3,6 9 6,1,4,3,3,3,2.0238095238095237
2023-09-01T08:43:44.384121,2023-09-01T08:43:44.399310,0.015189,3,2 7 0,1,6,3,3,3,2.4571428571428573
2023-09-01T08:43:44.399843,2023-09-01T08:43:44.412312,0.012469,3,2 10 6,1,5,3,3,3,2.230769230769231
2023-09-01T08:43:44.412936,2023-09-01T08:43:44.428317,0.015381,3,6 6 9,1,6,3,3,3,2.2096774193548385
2023-09-01T08:43:44.428951,2023-09-01T08:43:44.446042,0.017091,3,4 8 0,1,7,3,3,3,2.3333333333333335
2023-09-01T08:43:44.446725,2023-09-01T08:43:44.460821,0.014096,3,1 10 8,1,5,3,3,3,2.230769230769231
2023-09-01T08:43:44.462030,2023-09-01T08:43:44.475063,0.013033,3,5 1 4,1,5,3,3,3,2.230769230769231
2023-09-01T08:43:44.475830,2023-09-01T08:43:44.488760,0.01293,3,7 0 11,1,5,3,3,3,2.230769230769231
2023-09-01T08:43:44.489367,2023-09-01T08:43:44.506741,0.017374,3,8 8 1,1,7,3,3,3,2.3333333333333335
2023-09-01T08:43:44.507484,2023-09-01T08:43:44.510899,0.003415,3,8 9 2,1,1,1,1,1,1.0
2023-09-01T08:43:44.511058,2023-09-01T08:43:44.523405,0.012347,3,5 2 0,1,5,3,3,3,2.230769230769231
2023-09-01T08:43:44.526203,2023-09-01T08:43:44.534099,0.007896,4,7 0 1 5,1,3,2,2,2,1.6875
2023-09-01T08:43:44.534525,2023-09-01T08:43:44.565346,0.030821,4,3 0 3 1,1,13,4,4,4,2.933333333333333
2023-09-01T08:43:44.567112,2023-09-01T08:43:44.992210,0.425098,4,2 10 7 8,1,165,42,4,8,5.032006920415225
2023-09-01T08:43:45.002759,2023-09-01T08:43:45.017730,0.014971,4,10 10 10 1,1,4,2,2,2,1.7857142857142858
2023-09-01T08:43:45.018151,2023-09-01T08:43:45.036283,0.018132,4,6 11 1 3,1,7,4,4,4,2.611111111111111
2023-09-01T08:43:45.037019,2023-09-01T08:43:45.061038,0.024019,4,7 2 6 2,1,10,4,4,4,2.656862745098039
2023-09-01T08:43:45.062212,2023-09-01T08:43:45.118609,0.056397,4,7 8 1 0,1,22,14,4,6,3.8958333333333335
2023-09-01T08:43:45.121220,2023-09-01T08:43:45.196950,0.07573,4,6 2 6 6,1,31,16,4,5,3.7598870056497176
2023-09-01T08:43:45.199161,2023-09-01T08:43:45.257571,0.05841,4,3 0 9 11,1,23,14,4,6,3.7708333333333335
2023-09-01T08:43:45.258887,2023-09-01T08:43:45.320071,0.061184,4,2 0 8 1,1,24,18,4,6,4.128787878787879
2023-09-01T08:43:45.322945,2023-09-01T08:43:45.363270,0.040325,4,9 0 9 1,1,16,4,4,5,3.1882352941176473
2023-09-01T08:43:45.365093,2023-09-01T08:43:45.385244,0.020151,4,3 10 11 3,1,8,4,4,4,2.911111111111111
2023-09-01T08:43:45.386094,2023-09-01T08:43:45.502779,0.116685,4,10 10 7 5,1,44,4,4,8,5.934895833333333
2023-09-01T08:43:45.507640,2023-09-01T08:43:45.570916,0.063276,4,8 11 4 9,1,26,4,4,6,3.997191011235955
2023-09-01T08:43:45.574044,2023-09-01T08:43:45.596923,0.022879,4,11 8 4 4,1,9,4,4,4,2.975
2023-09-01T08:43:45.598258,2023-09-01T08:43:45.761083,0.162825,4,3 10 10 8,1,63,4,4,8,5.694938440492476
2023-09-01T08:43:45.765415,2023-09-01T08:43:45.839097,0.073682,4,6 2 0 4,1,29,16,4,5,3.7975460122699385
2023-09-01T08:43:45.841345,2023-09-01T08:43:45.853592,0.012247,4,2 3 2 2,1,3,2,2,2,1.6875
2023-09-01T08:43:45.854130,2023-09-01T08:43:46.031112,0.176982,4,0 2 11 6,1,71,4,4,6,4.5515288788221975
2023-09-01T08:43:46.034670,2023-09-01T08:43:46.059648,0.024978,4,5 0 1 4,1,8,4,4,4,2.911111111111111
